transaction_id,customer_id,amount,payment_method,failure_reason,retry_count,previous_transactions,previous_success_rate,subscription_status,customer_type,days_since_failure,time_since_last_success,device_risk_score,historical_failure_count,recovered,recovery_outcome
txn_86d62383ec57,cust_001494,2263.33,card,network_timeout,0,0,0.5,none,new,21,720.0,0.332,0,1,recovered
txn_17e57bc3535c,cust_000256,2356.06,card,network_timeout,0,4,0.945,paused,returning,10,95.2,0.087,0,1,recovered
txn_721da7af1924,cust_000323,885.62,emi,invalid_card,0,6,0.749,none,returning,6,416.8,0.127,3,0,not_recovered
txn_2d38c2d7a612,cust_000790,4486.44,upi,risk_flagged,2,0,0.5,active,new,24,720.0,0.032,0,0,not_recovered
txn_82c899b72901,cust_000527,1843.99,upi,risk_flagged,0,0,0.5,cancelled,new,15,720.0,0.406,0,0,not_recovered
txn_e6bddb30255f,cust_000887,2971.93,card,insufficient_funds,0,5,0.741,none,returning,18,15.2,0.189,2,0,not_recovered
txn_78a1322cdcda,cust_001504,680.76,card,insufficient_funds,0,0,0.5,none,new,10,720.0,0.21,0,0,not_recovered
txn_3589e334c5df,cust_000970,1701.91,upi,bank_server_error,0,2,0.318,active,returning,12,215.4,0.166,1,1,recovered
txn_8159011e247c,cust_001359,5364.54,card,bank_server_error,0,9,0.792,active,returning,17,169.3,0.197,2,0,not_recovered
txn_56751a4ac567,cust_000193,4784.61,wallet,network_timeout,1,11,0.475,active,loyal,10,101.4,0.272,2,0,not_recovered
txn_edc121eb39ab,cust_000337,975.0,netbanking,card_declined_bank,0,8,0.596,none,returning,29,134.7,0.238,0,0,not_recovered
txn_6d17784a7110,cust_001180,1222.92,upi,invalid_card,0,0,0.5,none,new,26,720.0,0.198,1,0,not_recovered
txn_cc04b6d044e0,cust_000325,820.72,upi,bank_server_error,1,16,0.713,none,loyal,29,296.6,0.261,2,1,recovered
txn_7b56fbe937a7,cust_000108,1106.8,emi,insufficient_funds,0,22,0.72,active,loyal,24,13.3,0.111,2,0,not_recovered
txn_3c70334b15c1,cust_000930,567.27,upi,insufficient_funds,0,2,0.879,active,returning,2,98.5,0.041,1,0,not_recovered
txn_a9cae9c6f7e1,cust_001484,1764.53,upi,network_timeout,0,0,0.5,none,new,25,720.0,0.195,1,1,recovered
txn_04d4c3863e2b,cust_001214,3532.72,wallet,insufficient_funds,1,3,0.907,cancelled,returning,7,210.4,0.174,3,0,not_recovered
txn_d103b5e35487,cust_000799,985.8,card,bank_server_error,0,0,0.5,none,new,12,720.0,0.143,0,0,not_recovered
txn_e45c612ba76a,cust_001054,1841.72,wallet,bank_server_error,1,0,0.5,active,new,12,720.0,0.12,0,1,recovered
txn_8c32716fb9b0,cust_000504,1638.52,card,bank_server_error,0,0,0.5,none,new,14,720.0,0.12,1,1,recovered
txn_3f5fdd46f818,cust_000757,5164.72,upi,risk_flagged,0,8,0.717,cancelled,returning,24,4.7,0.23,2,0,not_recovered
txn_2ca062692645,cust_000306,1152.36,netbanking,insufficient_funds,0,8,0.867,paused,returning,17,11.4,0.331,4,1,recovered
txn_b8b2d9119a0b,cust_000928,1190.71,upi,network_timeout,0,3,0.742,paused,returning,16,5.7,0.432,0,0,not_recovered
txn_36e41309b4f1,cust_001432,933.16,upi,network_timeout,0,5,0.491,cancelled,returning,5,227.9,0.372,1,0,not_recovered
txn_82d1e6e1b7ae,cust_000408,717.84,upi,network_timeout,1,4,0.733,none,returning,24,20.6,0.212,4,0,not_recovered
txn_dce9090ffede,cust_001107,3217.2,card,otp_failed,0,6,0.318,cancelled,returning,11,112.7,0.128,0,0,not_recovered
txn_c399e9bb21de,cust_000515,1769.41,card,card_declined_bank,0,0,0.5,active,new,20,720.0,0.091,1,0,not_recovered
txn_03c2814a19e5,cust_000862,2099.24,card,risk_flagged,2,0,0.5,paused,new,15,720.0,0.243,0,0,not_recovered
txn_b419cbd52f15,cust_000720,6292.9,upi,otp_failed,0,5,0.779,paused,returning,20,244.0,0.254,5,1,recovered
txn_030ed02ae34e,cust_001120,6626.77,upi,insufficient_funds,0,4,0.789,cancelled,returning,20,5.7,0.345,2,0,not_recovered
txn_52f7cb35f95f,cust_000124,454.13,card,network_timeout,0,11,0.43,none,returning,17,175.1,0.199,2,1,recovered
txn_5fd4148e46ec,cust_001340,3579.76,wallet,insufficient_funds,0,6,0.476,paused,returning,13,57.7,0.387,1,1,recovered
txn_78d26ba80a66,cust_000295,2448.14,card,insufficient_funds,2,9,0.188,active,returning,22,158.8,0.118,5,0,not_recovered
txn_a7a219b1b5bd,cust_000730,1318.92,upi,risk_flagged,2,8,0.901,none,returning,4,165.6,0.345,2,0,not_recovered
txn_fdb5048cb469,cust_000605,2683.6,upi,bank_server_error,0,3,0.984,none,returning,30,3.7,0.173,1,1,recovered
txn_2d529a3586e0,cust_001491,422.53,card,insufficient_funds,2,0,0.5,none,new,13,720.0,0.32,0,0,not_recovered
txn_abd5768d4919,cust_000780,7453.05,upi,insufficient_funds,0,0,0.5,none,new,30,720.0,0.08,0,0,not_recovered
txn_2e78fb8ea826,cust_000355,3176.23,upi,network_timeout,2,9,0.696,none,returning,16,21.9,0.473,3,1,recovered
txn_5518e6e3b496,cust_001289,917.2,card,risk_flagged,1,0,0.5,active,new,4,720.0,0.524,1,0,not_recovered
txn_d06ab3cb1ce3,cust_001213,1179.84,emi,network_timeout,0,3,0.535,none,returning,20,31.1,0.312,0,0,not_recovered
txn_125976174eb1,cust_001322,431.46,netbanking,network_timeout,0,16,0.42,none,loyal,16,25.8,0.346,2,0,not_recovered
txn_0518594af508,cust_000984,1506.34,upi,network_timeout,1,0,0.5,none,new,26,720.0,0.062,0,0,not_recovered
txn_5c3fc4243633,cust_000731,1294.06,netbanking,card_declined_bank,0,0,0.5,none,new,25,720.0,0.364,0,0,not_recovered
txn_709022c18dbf,cust_001549,606.32,wallet,bank_server_error,0,0,0.5,active,new,7,720.0,0.074,0,1,recovered
txn_696ce8254dc8,cust_001167,4019.98,card,otp_failed,1,0,0.5,paused,new,23,720.0,0.127,0,0,not_recovered
txn_96303446cad7,cust_001322,6305.12,upi,insufficient_funds,0,5,0.857,none,returning,17,261.8,0.3,2,0,not_recovered
txn_bc1d2cf473b4,cust_001503,1949.59,upi,network_timeout,0,5,0.533,active,returning,14,25.5,0.358,2,1,recovered
txn_a48c1dad7bf7,cust_001531,1517.65,card,risk_flagged,0,2,0.619,none,returning,12,53.2,0.41,2,1,recovered
txn_bcff6193a5be,cust_000239,2955.69,card,network_timeout,1,4,0.893,none,returning,20,69.2,0.176,3,1,recovered
txn_851c972c53e7,cust_001075,1963.19,card,network_timeout,0,3,0.935,none,returning,21,79.8,0.084,2,1,recovered
txn_711a896c3800,cust_001318,754.49,upi,otp_failed,0,16,0.742,active,loyal,27,1.6,0.185,2,1,recovered
txn_2183431d0152,cust_000891,1110.53,netbanking,network_timeout,0,0,0.5,active,new,27,720.0,0.269,0,0,not_recovered
txn_fc5321e4529b,cust_001509,1530.28,netbanking,network_timeout,0,0,0.5,active,new,7,720.0,0.101,0,1,recovered
txn_a81e2e35b4f0,cust_000691,2498.31,card,card_declined_bank,1,0,0.5,active,new,14,720.0,0.407,0,0,not_recovered
txn_3aee5eebcd3c,cust_001400,2015.06,card,bank_server_error,0,5,0.691,active,returning,30,96.3,0.116,1,1,recovered
txn_aff6fae4fca0,cust_000665,2414.71,upi,insufficient_funds,1,6,0.509,paused,returning,26,122.5,0.292,2,1,recovered
txn_89a32bcf6b01,cust_000957,506.57,upi,insufficient_funds,0,0,0.5,none,new,13,720.0,0.481,0,0,not_recovered
txn_6767d9b45772,cust_001110,3636.21,wallet,card_declined_bank,1,5,0.807,none,returning,0,22.0,0.321,2,0,not_recovered
txn_9d76c4c7eae0,cust_001508,2004.35,wallet,network_timeout,0,0,0.5,none,new,7,720.0,0.374,1,0,not_recovered
txn_3904762184e0,cust_000236,19879.38,wallet,network_timeout,1,6,0.786,none,returning,28,23.9,0.103,1,1,recovered
txn_f8be18eace7f,cust_001538,1409.7,netbanking,otp_failed,0,9,0.739,active,returning,21,60.7,0.23,1,1,recovered
txn_70138ff6cdfc,cust_000418,2673.42,emi,otp_failed,1,6,0.763,active,returning,24,57.9,0.19,1,1,recovered
txn_925b52dfe271,cust_000894,25496.52,upi,invalid_card,0,0,0.5,active,new,24,720.0,0.565,0,0,not_recovered
txn_1a55a9c85fb3,cust_000675,2379.59,card,insufficient_funds,0,7,0.721,none,returning,4,21.8,0.302,2,0,not_recovered
txn_e128c754985d,cust_000020,1880.2,card,network_timeout,0,6,0.886,none,returning,18,175.9,0.204,2,1,recovered
txn_ae2ef1f2fcfa,cust_001313,822.02,card,bank_server_error,0,0,0.5,none,new,20,720.0,0.066,0,0,not_recovered
txn_19720c134d78,cust_000325,7906.49,card,otp_failed,0,0,0.5,none,new,2,720.0,0.4,0,0,not_recovered
txn_6d7b307caf52,cust_000028,704.02,card,network_timeout,1,26,0.744,cancelled,loyal,15,49.7,0.179,3,0,not_recovered
txn_42c012a46c6f,cust_000388,2934.84,wallet,bank_server_error,1,11,0.824,none,loyal,8,65.4,0.302,3,0,not_recovered
txn_7be9ae1013e9,cust_000265,1304.79,card,network_timeout,0,9,0.528,none,returning,30,321.4,0.53,0,0,not_recovered
txn_6a97fe436349,cust_000837,1685.13,wallet,risk_flagged,2,0,0.5,none,new,7,720.0,0.203,0,0,not_recovered
txn_c6d6ed131bce,cust_001327,554.72,netbanking,card_declined_bank,0,27,0.551,none,loyal,9,161.8,0.271,1,1,recovered
txn_9159c1439d4f,cust_000441,6692.98,upi,bank_server_error,0,5,0.807,none,returning,27,71.3,0.37,1,0,not_recovered
txn_70f4b38f0e4b,cust_000790,1556.17,upi,invalid_card,1,3,0.701,none,returning,18,12.9,0.058,3,1,recovered
txn_2c92c4be5a38,cust_000502,669.43,card,invalid_card,0,6,0.712,active,returning,29,43.9,0.071,6,0,not_recovered
txn_f206f4cfeda2,cust_000625,6169.8,upi,network_timeout,0,0,0.5,none,new,16,720.0,0.124,1,0,not_recovered
txn_4da289caee75,cust_000327,1269.37,card,insufficient_funds,0,0,0.5,paused,new,5,720.0,0.263,0,0,not_recovered
txn_0fe519c42c42,cust_000057,2700.38,wallet,otp_failed,0,13,0.653,none,loyal,6,27.5,0.163,2,1,recovered
txn_4becad338ac2,cust_000271,4261.07,card,network_timeout,0,3,0.853,cancelled,returning,5,6.4,0.056,3,1,recovered
txn_2efd567fe8aa,cust_000904,3061.41,card,insufficient_funds,0,0,0.5,none,new,25,720.0,0.336,0,0,not_recovered
txn_5dfa839af0c6,cust_000566,276.73,upi,insufficient_funds,0,0,0.5,none,new,0,720.0,0.253,0,1,recovered
txn_d135e572e275,cust_001038,3736.19,upi,invalid_card,1,4,0.618,none,returning,23,36.4,0.356,2,0,not_recovered
txn_60d262e5af58,cust_000507,1825.21,upi,insufficient_funds,2,0,0.5,none,new,13,720.0,0.309,0,0,not_recovered
txn_7563b213bd3e,cust_000199,1486.05,upi,card_declined_bank,0,19,0.495,paused,loyal,16,44.0,0.094,0,1,recovered
txn_cb92e95bf762,cust_000606,1811.36,card,insufficient_funds,0,7,0.764,active,returning,25,108.5,0.137,2,0,not_recovered
txn_8235c0e5907e,cust_001022,469.17,upi,network_timeout,0,8,0.954,none,returning,29,165.2,0.244,4,0,not_recovered
txn_b99498ed1232,cust_000337,2375.48,card,risk_flagged,0,5,0.524,none,returning,8,35.9,0.269,2,0,not_recovered
txn_7b8a703dcf22,cust_001478,585.26,card,network_timeout,0,6,0.846,paused,returning,28,47.2,0.253,2,1,recovered
txn_5844b4e870ba,cust_001265,1544.95,card,network_timeout,1,10,0.694,none,returning,28,220.2,0.081,2,1,recovered
txn_80cd8e8c88a2,cust_000850,2299.94,card,insufficient_funds,1,5,0.486,cancelled,returning,25,44.5,0.265,3,0,not_recovered
txn_fa7e5d4dd86b,cust_001404,5253.41,card,otp_failed,0,0,0.5,paused,new,3,720.0,0.105,0,0,not_recovered
txn_1b9ab7744ca7,cust_000348,955.61,upi,insufficient_funds,1,4,0.905,none,returning,4,3.7,0.312,1,1,recovered
txn_e2c9eb268571,cust_001320,7379.26,card,network_timeout,1,0,0.5,paused,new,1,720.0,0.219,0,0,not_recovered
txn_a02d6354387e,cust_001194,4685.22,card,insufficient_funds,1,7,0.751,cancelled,returning,27,95.8,0.096,0,0,not_recovered
txn_f7d3b91b117b,cust_001174,1357.68,upi,insufficient_funds,0,0,0.5,active,new,29,720.0,0.102,1,0,not_recovered
txn_3ff0a98b23c7,cust_000231,736.66,card,network_timeout,1,0,0.5,none,new,9,720.0,0.339,0,1,recovered
txn_61ac16d141fa,cust_001108,544.88,upi,bank_server_error,1,0,0.5,active,new,16,720.0,0.386,1,1,recovered
txn_1c0f65e5c6f8,cust_000308,2551.86,wallet,network_timeout,0,5,0.67,none,returning,17,90.9,0.214,1,1,recovered
txn_0d6cf3d523d4,cust_001097,1029.1,upi,insufficient_funds,1,0,0.5,active,new,12,720.0,0.266,0,0,not_recovered
txn_76ec8a9a1686,cust_001152,5880.64,wallet,otp_failed,1,19,0.775,none,loyal,30,34.8,0.139,2,0,not_recovered
txn_16f03692311c,cust_000526,1084.02,card,card_declined_bank,0,9,0.823,none,returning,29,9.6,0.279,0,0,not_recovered
txn_9a42918fb310,cust_001347,888.38,card,insufficient_funds,0,0,0.5,none,new,7,720.0,0.662,0,0,not_recovered
txn_9057d7ea0f3b,cust_000126,2465.78,upi,insufficient_funds,0,6,0.635,active,returning,17,312.8,0.296,4,1,recovered
txn_f200c5425e20,cust_000480,1077.67,netbanking,insufficient_funds,1,0,0.5,none,new,6,720.0,0.41,0,0,not_recovered
txn_e9547946b615,cust_001099,2013.63,netbanking,invalid_card,0,20,0.754,none,loyal,2,100.6,0.079,3,0,not_recovered
txn_4b825581aa5e,cust_000857,4853.18,card,network_timeout,0,4,0.804,none,returning,26,46.6,0.233,4,0,not_recovered
txn_ec9b215d6c00,cust_001277,2220.54,netbanking,network_timeout,0,6,0.686,none,returning,26,53.9,0.096,1,1,recovered
txn_0df737d4ba3e,cust_000872,2228.02,card,bank_server_error,1,0,0.5,active,new,0,720.0,0.058,0,1,recovered
txn_bb9fc5ea35d2,cust_000991,2403.38,card,network_timeout,1,6,0.794,none,returning,16,99.6,0.141,0,1,recovered
txn_94977de76e4d,cust_001146,435.38,card,network_timeout,0,0,0.969,cancelled,returning,5,77.3,0.434,1,1,recovered
txn_5ae2e5ae7575,cust_001442,2843.11,emi,network_timeout,0,22,0.755,active,loyal,17,8.1,0.187,4,1,recovered
txn_d25047c358eb,cust_000260,2307.54,card,otp_failed,0,3,0.603,none,returning,10,177.6,0.149,2,1,recovered
txn_5a796be474a8,cust_001090,4463.14,netbanking,otp_failed,0,10,0.462,active,returning,16,1.6,0.198,1,1,recovered
txn_87c6e0bbec9f,cust_000124,3446.9,upi,otp_failed,1,0,0.5,none,new,22,720.0,0.232,1,0,not_recovered
txn_af70ff05b75a,cust_000635,1666.11,upi,card_declined_bank,0,0,0.5,active,new,2,720.0,0.167,1,0,not_recovered
txn_448c788543f8,cust_001135,5060.16,upi,insufficient_funds,1,6,0.748,none,returning,14,137.7,0.229,1,0,not_recovered
txn_1dcf6936830d,cust_001008,1535.53,netbanking,risk_flagged,1,5,0.63,none,returning,10,100.7,0.46,1,0,not_recovered
txn_b1e513925141,cust_001470,2495.99,card,card_declined_bank,1,0,0.5,active,new,12,720.0,0.346,0,0,not_recovered
txn_2f8ab6ab36fc,cust_001089,1510.15,card,card_declined_bank,0,22,0.617,none,loyal,28,48.9,0.283,3,0,not_recovered
txn_3654dd6cf254,cust_001481,3027.77,upi,card_declined_bank,0,15,0.658,none,loyal,28,171.2,0.706,2,1,recovered
txn_3332d2219b2d,cust_001199,1423.91,card,insufficient_funds,0,0,0.5,none,new,20,720.0,0.219,0,0,not_recovered
txn_bf54a7e7e5e3,cust_001275,8802.55,card,insufficient_funds,2,3,0.446,cancelled,returning,23,142.5,0.3,0,1,recovered
txn_50897643b7f4,cust_001421,12278.76,card,bank_server_error,1,0,0.5,none,new,11,720.0,0.395,0,1,recovered
txn_bd973f67a2e6,cust_001429,4387.63,card,network_timeout,1,12,0.954,cancelled,returning,19,172.0,0.46,1,0,not_recovered
txn_9145be9fa2e1,cust_000086,7999.76,card,bank_server_error,1,0,0.5,none,new,14,720.0,0.374,0,0,not_recovered
txn_81d1b4f588cc,cust_000370,500.05,card,network_timeout,0,7,0.59,active,returning,10,10.7,0.262,2,1,recovered
txn_e773cede9462,cust_000654,556.0,wallet,network_timeout,0,5,0.825,active,returning,24,121.0,0.302,2,1,recovered
txn_93f72be83d0a,cust_000043,1496.07,card,invalid_card,1,3,0.704,none,returning,26,7.9,0.272,1,0,not_recovered
txn_3c942032d16d,cust_001338,2073.74,emi,otp_failed,0,0,0.5,none,new,10,720.0,0.089,0,1,recovered
txn_fbcd129f1b63,cust_000280,1671.73,emi,bank_server_error,2,12,0.82,paused,loyal,7,317.4,0.2,1,0,not_recovered
txn_4f6bf93cc811,cust_000165,455.81,card,insufficient_funds,1,0,0.5,none,new,12,720.0,0.471,0,0,not_recovered
txn_794ea533102e,cust_000940,5633.2,upi,otp_failed,2,0,0.5,none,new,29,720.0,0.442,0,0,not_recovered
txn_6069f045b4e8,cust_000665,13887.97,upi,risk_flagged,1,5,0.722,none,returning,23,28.9,0.261,1,0,not_recovered
txn_bd3bb56ab98f,cust_000816,6328.95,upi,otp_failed,0,4,0.829,none,returning,8,80.4,0.449,3,0,not_recovered
txn_76df013c48d9,cust_000127,5308.0,card,otp_failed,0,21,0.559,none,loyal,19,41.0,0.213,1,0,not_recovered
txn_599da3edc8ec,cust_001496,2449.18,card,bank_server_error,0,18,0.703,active,loyal,25,103.6,0.141,0,1,recovered
txn_a5b649a75c51,cust_000988,935.71,card,insufficient_funds,1,0,0.5,active,new,11,720.0,0.203,0,0,not_recovered
txn_7e05e9046583,cust_000159,2132.98,upi,otp_failed,0,24,0.931,none,loyal,28,30.0,0.417,1,1,recovered
txn_047e066d9725,cust_001282,13293.48,emi,invalid_card,1,0,0.5,active,new,28,720.0,0.219,0,0,not_recovered
txn_a5194e22b0a7,cust_000333,1455.65,upi,bank_server_error,0,9,0.971,none,returning,7,287.5,0.354,1,1,recovered
txn_28ba279ccc11,cust_000058,1326.82,upi,insufficient_funds,0,0,0.5,active,new,18,720.0,0.205,1,0,not_recovered
txn_f5e66284063c,cust_000025,5413.08,emi,bank_server_error,0,14,0.757,active,loyal,7,24.0,0.044,2,1,recovered
txn_be8b9ffe0c25,cust_000079,5746.33,upi,bank_server_error,1,0,0.5,cancelled,new,20,720.0,0.048,0,0,not_recovered
txn_5fa44194bb29,cust_000382,931.59,card,invalid_card,0,0,0.5,cancelled,new,2,720.0,0.019,0,0,not_recovered
txn_0f691cb25bf3,cust_000431,1579.18,netbanking,otp_failed,0,9,0.74,none,returning,19,2.3,0.348,2,0,not_recovered
txn_53e2ebaed1ba,cust_000623,1271.92,card,insufficient_funds,0,22,0.815,none,loyal,10,103.3,0.118,3,1,recovered
txn_a6c3a91df328,cust_001285,2127.54,card,insufficient_funds,0,18,0.777,paused,loyal,15,121.3,0.113,3,0,not_recovered
txn_e60dc18e05b8,cust_000572,5395.49,upi,bank_server_error,2,6,0.893,active,returning,15,73.5,0.574,3,0,not_recovered
txn_bf670d47e736,cust_001322,969.11,wallet,network_timeout,0,16,0.779,none,loyal,30,10.8,0.218,5,1,recovered
txn_c5291a4deb56,cust_000074,5327.82,card,bank_server_error,0,15,0.633,active,loyal,2,88.0,0.144,1,1,recovered
txn_215e114e9a07,cust_001547,2189.63,upi,card_declined_bank,0,3,0.651,none,returning,18,8.7,0.127,1,0,not_recovered
txn_3ab76acc74a4,cust_000897,16213.07,card,otp_failed,0,0,0.5,cancelled,new,4,720.0,0.392,0,0,not_recovered
txn_ca5a78e55f90,cust_000871,2662.31,card,network_timeout,0,8,0.818,paused,returning,20,68.4,0.133,2,1,recovered
txn_60599b55d95f,cust_000429,1831.29,card,card_declined_bank,0,6,0.468,cancelled,returning,13,110.9,0.277,3,0,not_recovered
txn_dbbf984c317a,cust_001257,3351.77,upi,card_declined_bank,0,1,0.808,none,returning,5,42.5,0.258,0,0,not_recovered
txn_0a57c1dca87f,cust_000089,1475.23,netbanking,insufficient_funds,0,0,0.5,none,new,5,720.0,0.386,0,1,recovered
txn_9df3eba46e42,cust_000912,397.13,card,otp_failed,0,5,0.816,paused,returning,3,158.6,0.22,4,1,recovered
txn_82484d7b1f73,cust_000619,1609.26,card,otp_failed,1,0,0.5,none,new,23,720.0,0.217,0,1,recovered
txn_ce099709828e,cust_000777,1586.58,card,card_declined_bank,0,13,0.785,none,loyal,28,299.5,0.18,1,0,not_recovered
txn_2b665e7865cb,cust_001439,476.71,card,network_timeout,1,0,0.5,active,new,9,720.0,0.091,0,0,not_recovered
txn_32b5926468b3,cust_001032,1871.07,upi,network_timeout,1,0,0.5,none,new,11,720.0,0.272,0,1,recovered
txn_7e20d8c3c897,cust_001417,310.94,upi,bank_server_error,1,12,0.84,active,loyal,1,52.9,0.16,2,1,recovered
txn_9aaf69cd8233,cust_000169,1461.3,upi,network_timeout,0,0,0.5,none,new,5,720.0,0.595,0,0,not_recovered
txn_2997c72cddaf,cust_000316,2488.0,card,insufficient_funds,1,0,0.5,active,new,4,720.0,0.292,0,0,not_recovered
txn_e803eae00a33,cust_000739,2180.47,upi,card_declined_bank,1,7,0.837,none,returning,29,75.8,0.52,5,0,not_recovered
txn_d7d4a669f5e5,cust_000284,1380.27,card,network_timeout,2,13,0.598,active,loyal,9,114.8,0.223,5,1,recovered
txn_20295f2e2fc6,cust_001397,1850.15,card,bank_server_error,1,0,0.5,active,new,24,720.0,0.246,0,0,not_recovered
txn_d97b646c5bd3,cust_001019,986.68,wallet,invalid_card,0,0,0.5,none,new,4,720.0,0.173,0,1,recovered
txn_ea1bcd20e165,cust_000902,2017.74,netbanking,bank_server_error,2,1,0.747,active,returning,5,93.5,0.579,4,0,not_recovered
txn_3e97a7db4774,cust_001382,2105.44,wallet,bank_server_error,1,21,0.563,cancelled,loyal,6,41.0,0.251,1,0,not_recovered
txn_dd56e9904c30,cust_000503,888.71,wallet,bank_server_error,0,10,0.67,none,returning,5,69.1,0.114,1,0,not_recovered
txn_9025fe061302,cust_000832,2542.57,upi,network_timeout,0,0,0.5,none,new,6,720.0,0.3,0,0,not_recovered
txn_cd69d15a19ae,cust_000923,2528.31,wallet,network_timeout,2,0,0.5,active,new,8,720.0,0.26,0,0,not_recovered
txn_9a3fa7bf4a4e,cust_000912,1720.57,upi,otp_failed,0,0,0.5,paused,new,12,720.0,0.092,0,0,not_recovered
txn_4c4df9856d33,cust_000779,17657.97,card,insufficient_funds,1,0,0.5,none,new,5,720.0,0.419,2,0,not_recovered
txn_b1378efcc693,cust_000934,1760.53,card,insufficient_funds,0,10,0.938,none,returning,16,137.7,0.169,2,0,not_recovered
txn_b31c6d7acf7f,cust_001365,1554.16,card,network_timeout,1,0,0.5,active,new,11,720.0,0.332,0,0,not_recovered
txn_b89e3275c3d2,cust_001014,1366.28,card,risk_flagged,0,5,0.518,none,returning,19,24.7,0.26,2,1,recovered
txn_c2961ed31d4f,cust_001415,833.93,card,network_timeout,1,8,0.951,cancelled,returning,18,15.2,0.138,5,0,not_recovered
